id,name,description,purpose,url,support url,install_url,user_guide_url,technology,version,internal_tf,core_process,functional_area,active,license,aka,workgroup,standard,rollout_date,last_update_date,created_at,dependency,Remarks,Notes
11,V2.x Style Guide,The V2 Style Guide is used by editors managing and/or preparing V2 Chapters for ballot or publishing. This style guide is regularly updated by the V2 Publishing Work Group. ,Supports the management and publishing of V2 Chapters.,http://gforge.hl7.org/gf/project/v2-ballot-pkg/scmsvn/?action=browse&path=%2Ftrunk%2F,,,,,,t,t,std-dev std-pub,t,,,,V2,,,2016-06-01,,"Permission to enter the page on Gforge was denied (i=I was logged in). So could not look at the information on Gforge. AS: sure, don't worry",
12,ART-DECOR,"DECOR (Data Elements, Codes, OIDs and Rules) is a methodology to record the information model used by health professionals. DECOR uses this model to generate various artifacts: documentation, XML- and test-tooling, etc. With DECOR it is possible to improve the recorded information model by generating and resolving issues per item. DECOR registers (amongst others) datasets, datatypes, valuesets, codes, identifications, and business rules. 
ART (Advanced Requirement Tooling) is the DECOR user interface to create and adapt DECOR files, and to generate artifacts from DECOR files. ART is based on the eXist XML database, XQuery and Orbeon XForms. ","Supports the creation and maintenance of HL7 templates, value sets, data sets and features cloud-based federated Building Block Repositories (BBR) for Templates and Value Sets with two Template Editors. It supports comprehensive collaboration of team members within and between governance groups. ",http://art-decor.org/mediawiki/index.php/Main_Page,http://art-decor.org/mediawiki/index.php/TV,,https://art-decor.org/mediawiki/index.php?title=ART_user_manual,xml xslt web xforms xquery,version 1.8,f,f,std-dev std-pub impl reg-rep,t,OSS,,,V3 CDA FHIR V2,2014-07-24,2016-04-20,2016-06-01,,,
13,eTransX,"Offers a dramatically simplified approach to internal and external data integration for hospitals, laboratories, clinics, ACOs and much more. ",Supports the HL7 interface development.,http://etransx.com/,http://etransx.com/services/customer-support/,,,,version 7.1,f,f,impl,t,comm,,,V2 V3,,,2016-06-01,,,
14,Eversolve Medi7,The Medi7 Parser Toolkit is an HL7 parsing toolkit that supports dynamic message composition for a variety of platforms.  ,Validate HL7 messages,http://www.eversolve.com/products,"http://www.eversolve.com/support

http://www.eversolve.com/training",,,c++ java c# vb,,f,f,std-dev,t,comm,,,"V2
CDA",,,2016-06-01,,,"C++, Java, COM/ActiveX
Microsoft.NET (C#, VB.NET, Visual J#)
C++ for Linux
C++ for Solaris"
15,7Edit,"7Edit is a productivity tool for browsing, editing, validating HL7 messages and exchanging data with HL7 applications","Browsing, editing and validating HL7 messages",http://www.7edit.com/home/index.php,http://www.7edit.com/support/,,,,version 2.6.5,f,f,std-dev,t,comm,,,V2,,,2016-06-01,,,
16,Orion Health™ Rhapsody™ Integration Engine,"Enabler that brings systems together, and is a proven, high performance engine for robust, reliable exchange and acquisition of health data. ",Support interoperability,https://orionhealth.com/global/products/rhapsody/,https://orionhealth.com/global/support/,,,web,,f,f,impl,t,comm,,,"V2 V3 FHIR CDA         
",,,2016-06-01,,,
17, HL7 Spy ,"HL7Spy can answer quite complex questions about a set of HL7 transactions.
","Support analysts to quickly interpret, and characterize very large HL7 2.x message data streams.",http://hl7spy.ca/hl7-spy/,http://hl7spy.ca/qa/,,,xml xslt windows,version 2.2.501,f,f,impl std-dev,t,comm,,,V2 V3 CDA,,,2016-06-01,,,
18,"Interfaceware, Iguana integration engine, Iguana 6","iNTERFACEWARE™ is the developer of the Iguana™ HL7 Interface Engine and Chameleon™ HL7 Messaging Toolkit and are committed to helping customers find workable, real-world solutions to challenges of HL7 integration. The Iguana integration engine is the fastest way to create any interface, regardless of standard or protocol.","Build, test, monitor and troubleshoot any healthcare interface",http://www.interfaceware.com/iguana.html,http://help.interfaceware.com/,,,,version 6.0.5,f,f,impl,t,comm,,,V2 V3 FHIR CDA,,"21/7/2016

",2016-06-01,,,
19,HL7 Interface Engine IDE/  eiConsole,The eiConsole for Healthcare is an HL7 Interface Engine IDE that facilitates building HL7 interfaces,Support for building HL7 interfaces,http://healthcare.pilotfishtechnology.com/hl7-interface-engine/,http://healthcare.pilotfishtechnology.com/services/,,,,,f,f,,t,comm,,,V2 V3 FHIR,,,2016-06-01,,,
20,MD Link - HL7 Integration Engine with HL7 Interface Development ,"MD Link is an integration engine that connects independent health care applications in hospitals and clinics, with interfaces supported by HL7 certified resources. By displaying data sources and processes as a visual solution, MD Link enables robust information exchange between legacy applications and commercial software.
",Integration engine that delivers advanced inter-system messaging capabilities to health care organizations and vendors. All managed from a single screen with drag-and-drop configuration and supported by HL7 Certified resources.,http://www.mdisolutions.com/,http://www.mdisolutions.com/services/,,,java,,f,f,impl,t,comm,,,V2 V3,,,2016-06-01,,,
21,"LINK Medical Computing, Inc. Toolkits for Building/Parsing HL7 Messages","LINK Medical Computing, Inc. specializes in providing Health Level Seven (HL7) integration tools and solutions to the healthcare industry. The LINKTools Interface Development Kit (IDK) is a cost-effective HL7 integration toolkit that allows Vendors, Developers, Hospital IT administrators and consultants to rapidly ""interface enable"" their applications and systems without programming. ",Supports the HL7 development of an interface for applications and systems.,http://www.linkmed.com/Products/ltidk1.html,http://www.linkmed.com/Contacts/index.html,,,,,f,f,impl,t,comm,,,V2 V3,,,2016-06-01,,,
22,HL7 V3 PubDb,V3 Publication Database. Provides an Access database that is used by Work Groups to define their specifications and the dynamic models for those. ,Support for workgroups in defining specifications and the dynamic models.,http://gforge.hl7.org/gf/project/pubdb/,http://gforge.hl7.org/gf/project/pubdb/tracker/?action=TrackerItemBrowse&tracker_id=226,,,access xml windows,version 2.0.9C,t,t,std-dev std-ballot std-pub,t,OSS,HL7 V3 Pub Tooling,EST,V3,,,2016-06-01,23 24,,
23,HL7 V3 Design Repository,"This project contains four packages: HL7 ""CoreMif"" Instances of RIM, Vocab Data Types and CMETinfo; HL7 Design/RIM Repository, CMETinfo and FormalNamingSource. ",Provide the core RIM definitions for use in development of V3 artifacts,http://gforge.hl7.org/gf/project/design-repos/,,,,mif xml,,t,t,std-dev,t,,,EST,V3,,,2016-06-01,28,,
24,The HL7 RMIM Designer,"A graphic designer that supports the design of HL7 static information models. The Current variant of this tool is built upon customized ""templates"" in Microsoft Visio; a suite of Visual Basic software that runs in the Visio application space; and modules (DLL's) from the RoseTree program. The tool provides an interactive design capability for HL7 RMIMs, and is programmed to use data from the RIM, Vocabulary, and Data Types specifications to enforce the model design rules expressed in the HL7 V3 Methodology.",Supports the design of HL7 static information models,http://gforge.hl7.org/gf/project/visio-rmim-desi/,,,,visio xml vb windows,version 4.8.3,t,t,std-dev std-ballot std-pub,t,free,visio,EST,V3,,2013-08-27,2016-06-01,23 25,,
25,Rose Tree,"RoseTree is a donated Visual Basic (VB) application that functions as an interface to the HL7 repository for several other applications, including the current RMIM Designer, the PubDb and the V3 Generator (for which RoseTree creates source files). In addition, it provides a browser for the HL7 RIM and Vocabulary; builds RMIMs and HMDs from Visio designs; and manages the repository storage of these.","Provides a browser for the HL7 RIM and Vocabulary;
provides functions to assemble the HL7 Vocabulary from the Vocabulary data base (in Access)
generates Vocabulary MIF files after the assembly
generates XML extracts from Publication Database (PubDb) for desktop and production publishing.
",http://gforge.hl7.org/gf/project/rose-tree/,,,,vb mif windows alone,version 5.0.44,t,t,std-dev impl,t,OSS,rose,EST,V3,,2014-06-10,2016-06-01,28,,
26,V3 Generator,"The V3 Generator accepts the XML expressions of an HMD and, through a series of transforms, generates HL7 artifacts including: Static schemas, Interaction schemas, HTML table views, CSV files for Excel views and MIF files for static models, data types, and vocabulary.",Converting static models to MIF and related formats.,http://gforge.hl7.org/gf/project/v3-generator/,,,,xml xslt ant mif,version 3.4.12,t,t,std-dev std-ballot std-pub,t,OSS,,EST,V3,,2014-07-24,2016-06-01,23 24 25,,
27,HL7 Eclipse Platform,"The Open Health Workbench is the open-source subset of the clinical modeling and data standards tooling platform used by the English National Health Service. B2 International developed the Open Health Workbench in close cooperation with the English National Health Service to improve their real-world HL7 version 3 implementation issues. As the primary adopter of HL7 v3, NHS Connecting for Health is particularly well-suited to identify tooling to improve their message development tasks.
Components
    Static Model Comparison (MIF Diff)
    Message Instance Editor
    MIF Editor
    Validation Framework
    Test Message Generator",Support the development of HL7 v3 messages.,http://projects.eclipse.org/list-of-projects,"http://www.eclipse.org/forums/

http://help.eclipse.org/mars/index.jsp",,,java mif,version 1.0,f,f,impl,f,epl,,OHF,V3,2008-04-01,,2016-06-01,28 23,,
28,MIF Schemas,The Model Interchange Format (MIF) is a set of XML formats used to support the storage and exchange of HL7 version 3 artefacts as part of the HL7 Development Framework (HDF). It is the pre-publication format of HL7 v3 artefacts used by tooling. The formats are defined by a set inter-related schemas.,"Serves to document the HL7 metamodel, identifying all data elements of interest to version 3, as well as indicating correspondance to the UML meta-model.
defining schemas for xml files for holding the content of HL7 v3 specifications",http://gforge.hl7.org/gf/project/mif-schemas/,,,,xml,version 2.2.0,t,t,std-dev std-ballot impl std-pub,t,hl7,,EST,V3,,2011-01-14,2016-06-01,,,
29,MIF Utilities,This is a set of tools used in the comparison of MIFs.,Supports the comparison of MIFs.,http://gforge.hl7.org/gf/project/mif-utils/,,,,xml xslt,,t,f,std-dev std-ballot impl,t,OSS,,EST,V3,,,2016-06-01,,,
30,OID Registry,An OID is a globally unique ISO (International Organization for Standardization) identifier. Registered OIDs are presented in the OID Registry. ,"creation of OIDs for HL7 users
registry for OIDs",http://www.hl7.org/oid/index.cfm,http://www.hl7.org/oid/index.cfm,,,web cf,,t,t,std-dev impl reg-rep,t,,,,V2 V3 CDA ,,,2016-06-01,,,
31,Table 0396 Coding Systems,This is a table of external coding systems used in HL7 messages.,Support coding in HL7 messages.,http://www.hl7.org/Special/committees/vocab/table_0396/index.cfm,,,,web excel,,t,t,std-dev impl,t,,,Vocab,V2 V3,,2015-09-04,2016-06-01,,,Maintained by Ted Klein kci@tklein.com
32,UML Profile for MIF Static Models,"Document a UML Profile for the semantics in the MIF representation of the RIM and other derived models - identifying those concepts that cannot be expressed in UML Profile language to provide to OMG for possible extension of UML
Using the resulting UML Profile, adapt Enterprise Architect to express the proper HL7 stereotypes as a proof of concept.
",To allow modelers and developers to apply MIF-UML with minimal effort in order to create new models or change existing models and ultimately to produce MIF artifacts directly in UML,http://upcommons.upc.edu/bitstream/handle/2117/20440/MIF.pdf,http://gforge.hl7.org/gf/project/toolchlge_018/,,,ea uml,version 1.0,f,f,std-dev impl,t,,,EST,"CDA
V3",,,2016-06-01,,,
33,V2 Database,An Access database that is built from and contains information on the various HL7 V2 standards,Validation and generation of the HL7 V2 standard and used by implementers to build V2 integration software,,,,,access vb,,f,t,std-dev std-ballot impl std-pub,t,,,,V2,,,2016-06-01,,Cannot find the URL AS: likely isn't one,
34,HL7 V2 PubTool,A combination of various Microsoft technologies that import and verify Microsoft Word files for production of the full HL7 V2 specification,Publish the HL7 V2 Standard,,,,,access word vb,,t,t,std-dev std-ballot std-pub,t,,,Pub,V2,,,2016-06-01,,Cannot find the URL AS: likely isn't one,
35,HL7 V3 Pub Tooling,XML based tools for the generation of artifacts for HL7 V3,Publish the HL7 V3 Standard,http://gforge.hl7.org/gf/project/xmlpublishing/frs/,http://gforge.hl7.org/gf/project/xmlpublishing/tracker/,,,xml xslt ant alone mif windows,,t,t,std-dev std-ballot std-pub,t,,,EST,V3 CDA,,,2016-06-01,22 23 24 25 26,AS: This is not a duplicate of the PubDB the PubDb is one component of the overall publishing suite. AG OK.,
36,Ballot Database,Provide a record of all standards ballots that have occurred and votes cast and the dispostion of those votes. Used in the ANSI audit for verification of process. The ballot database  is maintained by the Director of Technical Publications. New entries in the ballot database are created from the NIB forms completed by workgroups at the beginning of each ballot cycle.,Record ballots and results,,,,,sql-serv,,t,t,std-ballot std-pub reg-rep,t,,,HQ,V2 V3 CDA FHIR Other,,,2016-06-01,,,The HL7 Ballot database is not visible to members and is internal HQ use only.
37,Ballot Desktop,"The Ballot Desktop lets members review all the ballotable documents available in a given cycle. When a cycle is active, you can vote, review your votes, view ballot materials, and review announcements.",Supports the HL7 ballot,http://www.hl7.org/ctl.cfm?action=ballots.home&ballot_cycle_id=541&ballot_voter_id=0,,,,web,,t,t,std-ballot,t,,,HQ,V2 V3 CDA FHIR Other,,,2016-06-01,,The ballot desktop is HL7 license. Don't know what to include in the license column. AS: if unknown we leave blank,
38,Project Insight,"Project Insight is a flexible, customizable and easy to use solution to track projects that are active within HL7.
HL7 PMO's project management tool.",Supports projectmanagement ,"http://www.projectinsight.net/product/

","http://www.projectinsight.net/training-support/

",,,web saas,,t,t,wg-admin reg-rep,t,,,HQ,V2 V3 CDA FHIR Other,,,2016-06-01,,,"To update projects in Project Insight please go to http://www.hl7.org/documentcenter/public/wg/projectServices/Project%20Insight%20Tip%20Sheet_2011.doc
More support on http://www.projectinsight.net/project-management-software/manual/Content/Overview.htm"
39,Go Members,Track the membership of the organization and the status of various members,Track the status of member of HL7 International and their authorizations,,,,,saas web,,t,t,member wg-admin,t,,,HQ,,,,2016-06-01,,,
40,Main HL7 Wiki,"The HL7 Wiki allows the various Wrok Groups in HL7 to record information including notes, minutes, progress on projects, hot topics and other items that need to be retained for future reference. ",Supports HL7 workgroups in their work.,http://wiki.hl7.org/index.php?title=Main_Page,http://wiki.hl7.org/index.php?title=Basic_Editing,,,php web,,t,t,wg-admin std-dev,t,OSS,,HQ,,,,2016-06-01,,,
41,TSC Wiki,"The Main Page of the HL7 TSC Wiki, supporting the elected governing body called the Technical Steering Committee (TSC) of Health Level Seven International. (HL7).  ",Coordinate activities of the Technical Steering Committee and the Steering Divisions,http://hl7tsc.org/wiki/index.php?title=Main_Page,http://wiki.hl7.org/index.php?title=Basic_Editing,,,php web,,t,t,wg-admin,t,OSS,,HQ,,,,2016-06-01,,,"The contents of this Wiki are non binding; see the HL7 website for persistent documents (minutes, standards, etc.). The HL7 TSC Wiki currently has 1,522 pages with substantive content. See articles from the main HL7 Wiki on Basic Editing and Help Resources for information about editing the Wiki. To access information, either use the search option or see the section of interest in the table below."
42,Editing Wiki,The Editing Wiki was created as a proof of concept to validate the feasability of coordinating standard content edits using a Wiki and then to push to the HL7 V3 Publishing process. The wiki is being used on the CDA R2.1 standard.,Provide a common workspace for work on standards content,http://pubwiki.hl7.org/index.php?title=Main_Page,http://wiki.hl7.org/index.php?title=Basic_Editing,,,php web,,t,f,std-dev,t,OSS,,HQ,V3,,,2016-06-01,,,
43,Tools and Services Catalogue,"Provide a registry of all of the tools and services used or made available by HL7 (with some external additions) to ensure the knowledge, state and health of all supporting processes are documented",Capture all of the various technologies used by HL7 ,http://hl7-tools.herokuapp.com/,,,,ror web,beta,t,f,wg-admin reg-rep,t,OSS,,EST,,,2016-08-02,2016-06-01,,,
44,Ballot Spreadsheet,"Ballot Comment Spreadsheets are provided for each ballot. They are located in the zip file found in the far right ""Cmnt"" column. This zip file will contain a complete set of ballot comment spreadsheets, so you only need to download it once. Please do not use any old ballot spreadsheets from previous cycles as we continue to make improvements each ballot cycle.",Support commenting on ballot material.,,,,,excel windows macos,,t,t,std-ballot,t,,,HQ,V2 V3 CDA Other,,,2016-06-01,,macos? Is that macros? AS: Nope macOS (like Windows but usefull),
45,Ballot Comment Amalgamation Macro Spreadsheet,A macrospreadsheet that assist work group co-chairs to manage submitted ballot comments.,"To assist Committee Co-chairs in summarizing ballot comments, an amalgamation utility with macros to combine all submitted comment spreadsheets",http://www.hl7.org/ctl.cfm?action=ballots.home&ballot_cycle_id=541&ballot_voter_id=0,,,,excel vb,,t,t,,t,,,HQ,,,,2016-06-01,,,The zip file below contains a spreadsheet and instructions for performing this task.
46,MAX Extension,Model Automated eXchange (MAX) is a project intended to develop a tool to facilitate the exchange of model data between UML modeling tools used to develop DAMs and DCMs such as Enterprise Architect and external data structures. ,Simple exchange of modelling information between CASE tools,http://gforge.hl7.org/gf/project/max/,http://gforge.hl7.org/gf/project/max/,,,c# ea,1.16.0622,t,f,std-dev,t,,,EST,Other,,2016-06-22,2016-06-01,,,An extension for Enterprise Architect from Sparx. See also https://app.box.com/s/ndhk4hnh2adzcho42sus
47,DECOR Template Exchange,Templates support mapping of data set artifacts to HL7v3 artifacts. The template format is influenced by the Templates Registry Project (HL7 International) and is a simplified representation of the HL7 MIF (model interchange format).,Supports the development of HL7 v3 templates.,https://art-decor.org/mediawiki/index.php/Publication_Templates,,,,xml,,t,f,std-dev,t,OSS,,Templates,CDA,,,2016-06-01,,,
48,DSTU Comment App,"The STU Commenting application, which is part of the HL7 website, is designed for both HL7 members and non-members.",To facilitate comments on a DSTU standard.,http://www.hl7.org/participate/onlineballoting.cfm?ref=nav,http://www.hl7.org/dstUcomments/help.cfm,,,web,,t,t,std-dev,t,,,EST,V2 V3 CDA FHIR,,,2016-06-01,,,
49,Help Desk,An online possibility to post (public) questions to the HL7 community,Provide support for HL7 members when using the HL standards,https://healthlevelseven.desk.com/,,,,web saas,,t,f,impl member,t,comm,,HQ,V2 V3 CDA FHIR,,,2016-06-01,,,"Not only for the use of HL7 standards, but also for other HL7 topics."
50,WGM Room Booking,,Provide a simple mechanism for co-chairs to specify the rooms needed for the next WGM,,,,,web cf,,t,t,wg-admin,t,,,EST,,,,2016-06-01,,,
51,Conference Call Center,,Provide a mechanism for the co-chairs to schedule teleconferences and book time on the HL7 teleconference number,,,,,web cf,,t,t,wg-admin,t,,,EST,,,,2016-06-01,,,
52,RegOnline,Registration for events such as WGMs,Provide a mechanism for members to self-register and submit payment,http://regonline.lanyon.com/?utm_expid=80530075-12.5313MM3SR_Ot6Cgd00iP8g.0,,,,web saas,,t,t,member,t,comm,,HQ,,,,2016-06-01,,,
53,MobiApp,An app with information on the HL7 workgroup Meeting.,"Provides HL7 WGM attendees with information of the WGM, calender, speakers and attendees of an WGM.",https://www.hl7.org/events/wgm<mmyyyy>/,,,,web,,t,f,member,t,,,HQ,,,,2016-06-01,,,
54,HL7 ListServer,A HL7 software application for a electronic mailing list,Provides members the possibility to subsribe a listserver to particpate in activities of a HL7 Workgroup.,http://www.hl7.org/myhl7/managelistservs.cfm,http://www.hl7.org/listservice/lyris.cfm?action=ls.faq,,,web saas,,t,t,std-dev wg-admin member,t,,Lyris,EST,,,,2016-06-01,,,Members can subscribe to specific workgroups on the listserver. All subscribers to HL7's lists are subject to our listserv usage policy (http://www.hl7.org/myhl7/managelistservs.cfm#listrules).
55,Vocabulary Tooling,"A graphical user interface to allow users to browse, search, and edit the contents of the HL7 vocabulary by creating machine processable vocabulary change events (i.e. Harmonization Proposals).","Provides a graphical user interface for browse, search, and edit the contents of the HL7 vocabulary.",http://gforge.hl7.org/gf/project/vocab-tools/,,,,xml xslt java eclipse,2.0.3,t,f,std-dev,f,,,Vocab,Other,,2014-07-17,2016-06-01,,"Maybe another entry HL7 Vocabulary in the code for standards? AS: I think we should ask Russ Hamm if he knows anything about this. AG;sedn him an email with question. AS: looked at the SVN on Gforge, old old old","Last check-in to SVN was in 2010, release was 2014 unknown if release and repository in sync. Not current with VML  and Harmonization process as of this note"
56,Version 3 Vocabulary Database,"HL7-defined vocabulary domain tables have been developed for coded class attributes and are stored in the HL7 repository. A number of views have been extracted from these to produce the HL7 Vocabulary Domain Listings for the HL7 Reference Information Model (RIM). The most current Access data base for both RIM and Vocabulary is always available as a Design Repository (""rimRepos"" download) from the HL7 Project Gforge site under the Design Repository Project.",Provides a HL7 defined vocabulary,http://www.hl7.org/documentcenter/private/standards_temp_0A7536E7-1C23-BA17-0C08C8D53068B4A8/v3/edition_web/infrastructure/vocabulary/vocabulary.html,,,,web,1360-20160323,t,f,std-dev,t,hl7,,Vocab,V3,,2016-04-28,2016-06-01,,,"You can also view the Version 3 Vocabulary on the V3 Ballot Web Site using the following link:
Version 3 Vocabulary page in the V3 Ballot Website (http://www.hl7.org/v3ballotarchive_temp_0B87DE5E-1C23-BA17-0C7CAAFAB2FA7DE6/v3ballot/html/infrastructure/vocabulary/vocabulary.html)."
57,Version 2.x Vocabulary ,Appendix A of HL7 Version 2.6 contains the V2.6 Data Definition Tables,Provides the vocabulary for HL7 v2,http://www.hl7.org/special/committees/vocab/V26_Appendix_A.pdf,,,,pdf,2.6,t,f,std-dev impl,t,hl7,,Vocab,V2,,2007-11-01,2016-06-01,,,
xx,Table 0396 Coding Systems,This is a table of external coding systems used in HL7 messages.,Provides an overview of external coding systems,http://www.hl7.org/Special/committees/vocab/table_0396/index.cfm,,,,web,,t,f,std_dev impl,t,,,Vocab,,,2015-04-09,2016-06-01,,Entered twice.,
59,Mayo Lexical Grid,"The Lexical Grid Vision - a distributed network of terminological resources. Currently, there are many terminologies and ontologies in existence. But just about every terminology has its own format, its own set of tools, and its own update mechanisms. The only thing that most of these pieces have in common with each other is their incompatibility. This makes it very hard to use these resources to their full potential. ","Provides a way to bridge terminologies and ontologies with a common set of tools, formats and update mechanisms.",http://www.lexgrid.org/,,,,,,f,f,,t,,LexGrid,,,,,2016-06-01,,"url is not working. Couldn't find more about this tool/resource. I found an abstract on this, https://www.semanticscholar.org/paper/LexGrid-Editor-Terminology-Authoring-for-the-Johnson-Solbrig/e82bb7824ff4de8fe765d81ae4bfb8385d6501d8/pdf, but the url in the references is not working either. AS: we may want to try and contact Harold Solbrig (but as an external tool I thinnk we add an note and let them come to us) AG; I send Harold an email.",
60,HL7 Vocabulary - French Translation,Translated HL7 Code set. Provided by Canada Health Infoway / HL7 Canada,Provides a french translation of the HL7 vocabulary,www.hl7.org/documentcenter/public/standards/vocabulary/Vocab_translated_French.xls,,,,excel,,f,f,std-dev impl,t,,,Vocab,,,,2016-06-01,,,
61,HL7 Code Set - French Translation,Translated HL7 Code set. Provided by Canada Health Infoway / HL7 Canada,Provides a french translation of the HL7 vocabulary,www.hl7.org/documentcenter/public/standards/vocabulary/HL7_Code_set_French_Translated.doc,,,,word,,f,f,std-dev impl,t,,,Vocab,V3,,2010-11-23,2016-06-01,,,
62,Good Vocabulary Practices Guide ,Provided by the HL7 Vocabulary Technical Committee.,Provides a brief set of guidelines for specifying vocabulary for a field within HL7 fields.,www.hl7.org/documentcenter/public/wg/vocab/Good_Vocab_Practices_May_00_Cleveland.doc,,,,word,,t,f,std-dev impl,t,,,Vocab,,,,2016-06-01,,,
63,End User License Agreement,Every copy of the HL7 Vocabulary database incorporated into or distributed in conjunction with another database or software program is subject to the HL7 End User License Agreement (EULA). ,Provides a copy of the End User License Agreement (EULA),http://www.hl7.org/documentcenter/public_temp_0E9200FB-1C23-BA17-0C9E36D98392F92F/gforge_include/hl7_eula.html,,,,web,,t,f,,t,,EULA,Vocab,Other,,2010-02-22,2016-06-01,,,A copy of the EULA is available at the following location: http://hl7projects.hl7.nscee.edu/tc_include/hl7_eula.html.
64,HL7 Development Framework,"The HL7 Development Framework (HDF) details the process of the HL7 standard development methodology. The HDF is a framework of modeling and administrative processes, policies, and deliverables used by HL7 to produce specifications that are used by the healthcare information management community to overcome challenges and barriers to interoperability among computerized healthcare-related information systems. ","The HDF project is intended to define and maintain the methodology applied by all the committees for project initiation, requirements analysis, standard design, implementation, standard approval process, etc.",http://www.hl7.org/v3ballotarchive_temp_77EF72A9-1C23-BA17-0C88C0821A6D7850/v3ballot/html/welcome/environment/index.html,,,,web pdf,1.5,t,f,,t,hl7,HDF,ArB,,,2010-01-01,2016-06-01,,,Health Level 7 (HL7) Development Framework (HDF) is included in the 'Background documents' on the site. The HDF is an informative document.
65,HMD for javaSIG and caAdapter API's ,Sample HMD files for javaSIG and caAdapter API's.,,,,,,,,f,f,,t,,,,,,,2016-06-01,,,
66,Java SIG API Demo Release,Documentation on Java SIG API.,,http://www.hl7.org/documentcenter/public_temp_11409D6A-1C23-BA17-0CD7B31D32DEFF75/wg/java/apidocs/index.html,,,,web,,t,f,,t,hl7,,AID,,,,2016-06-01,,,
