id,code_table,short_code,long_value,description,print_name,parent_id
80,work-grp,InM,InM,Infrastructure and Messaging,InM (Infrastructure and Messaging),
81,work-grp,IMC,IMC,International Mentoring Committee,IMC (International Mentoring Committee),
82,work-grp,MH,Mobile Health,Mobile Health,Mobile Health,
83,work-grp,MnM,MnM,Modeling and Methodology,MnM (Modeling and Methodology),
84,work-grp,OO,O - O,Orders and Observations,O-O (Orders and Observations),
85,work-grp,PA,PA,Patient Administration,PA (Patient Administration),
86,work-grp,PC,Patient Care,Patient Care,Patient Care,
87,work-grp,Pharm,Pharmacy,Pharmacy,Pharmacy,
88,work-grp,PIC,PIC,Process Improvement,PIC (Process Improvement),
89,work-grp,PS,Project Services,Project Services,Project Services,
90,work-grp,PHER,PHER,Public Health and Emergency Response,PHER (Public Health and Emergency Response),
91,work-grp,Pub,Publishing,Publishing,Publishing,
92,work-grp,RCRIM,RCRIM,Regulated Clinical Research Information Management,RCRIM (Regulated Clinical Research Information Management),
93,work-grp,Security,Security,Security,Security,
94,work-grp,SOA,SOA,Services Oriented Architecture,SOA (Services Oriented Architecture),
95,work-grp,SD,Struct Doc,Structured Documents,Structured Documents,
96,work-grp,Templates,Templates,Templates,Templates,
97,work-grp,Tooling,Tooling,Tooling,Tooling,
98,work-grp,Vocab,Vocabulary,Vocabulary,Vocabulary,
99,work-grp,TSC,TSC,Technical Steering Committee,TSC (Technical Steering Committee),
100,work-grp,T3SD,T3SD,Technical Support Services Steering Division,T3SD (Technical Support Services Steering Division),
101,work-grp,FTSD,FTSD,Foundation Technology Steering Division,FTSD (Foundation Technology Steering Division),
102,work-grp,DESD,DESD,Domain Experts Steering Division,DESD (Domain Experts Steering Division),
103,work-grp,SSDSD,SSDSD,Structure & Semantic Design Steering Division,SSDSD (Structure & Semantic Design Steering Division),
104,work-grp,ArB,ArB,Architecture Review Board,ArB (Architecture Review Board),
105,work-grp,SGB,SGB,Standards Governance Board,SGB (Standards Governance Board),
106,work-grp,FGB,FGB,FHIR Governance Board,FGB (FHIR Governance Board),
107,work-grp,FMG,FMG,FHIR Management Group,FMG (FHIR Management Group),
108,work-grp,HTA,HTA,HL7 Terminology Authority,HTA (HL7 Terminology Authority),
109,work-grp,HQ,HL7 HQ,HL7 Head office,HL7 HQ (Head-office and staff),
110,work-grp,FHIR-i,FHIR Infrastructure,FHIR Infrastructure,FHIR-i (FHIR Infrastructure),
111,work-grp,CIMI,CIMI,CIMI,CIMI,
120,product,V2,HL7 V2,HL7 Version 2 family of standards,HL7 V2,
121,product,V3,HL7 V3,HL7 Version 3 family of standards,HL7 V3,
122,product,CDA,HL7 CDA,HL7 CDA standards and implementation guides,HL7 CDA,
123,product,FHIR,FHIR,HL7 FHIR,FHIR,
124,product,FM,HL7 Functional Models,HL7 Functional Models and Functional Profiles,HL7 Functional Models and Profiles,
125,product,Gello,Gello,HL7 Gello Language,Gello,
126,product,Other,Other Standards,Miscellaneous HL7 Standards,Other Standards,
130,func-area,member,Membership,Membership,Membership,
131,func-area,educate,Education,Providing education on HL7 Standards,Education,
132,func-area,impl,Implementation,Aids with implementing HL7 Standards,Implementation,
133,func-area,wg-admin,Work Group Admin,"Assist with Work Group administrative functions (minutes, agendas, work coordination)",Work Group Administration,
134,func-area,std-dev,Standards Development,Used in development of HL7 Standards,Standards Development,
135,func-area,std-pub,Standards Publication,Used to publish approved HL7 Standards,Standards Publication,
136,func-area,std-ballot,Standards Balloting,Used to track and administer balloting of HL7 Standards,Standards Balloting,
137,func-area,conf,Conformance & Testing,Used for describing rules for implementation and validating the implementation,Conformance & Testing,
138,func-area,reg-rep,Registry or Repository,Identifies those items that serve as a registry or repository of standards artifacts,Registry/Repository,
140,role,dev,Developer,Developer,Developer,
141,role,admin,Project Admin,Project Administrator (coordinates project activities),Project Administrator,
142,role,maint,Maintainer,Maintainer (may work with some aspects of application),Maintainer,
143,role,tester,Tester,Tester (q/a for application),Tester,
144,role,sys-admin,System Administrator,System Administrator (oversee application operation),System Administrator,
145,role,implementer,Implementer,An individual or group that uses the tool/service,Implementer,
146,role,support,1st-line Support,1st line support or Help Desk,Help Desk Support,
147,role,history,Historical Context,Answers questions about the tool origins and history,Historical Context,
148,role,rel-admin,Release Manager,Release Manager,Release Manager,
160,license,OSS,Open Source,Open Source (unknown type),Open Source Software,
161,license,comm,Commercial,Commercial license,Commercial,
162,license,mit,MIT,MIT License,MIT License,
163,license,gpl,GPL,Gnu Public License,GPL,
164,license,apache,Apache,Apache License,Apache,
165,license,mpl,Mozilla license,Mozilla Public License,MPL,
166,license,bsd,BSD,BSD license,BSD,
167,license,cc,Creative Commons,Creative Commons,Creative Commons,
168,license,epl,EPL,Eclipse Public License,EPL,
169,license,share,Shareware,Shareware,Shareware,
170,license,free,Freeware,Free for use - proprietary,Freeware,
171,license,hl7,HL7 License,HL7 Produced Materials License,HL7 License,
